label_text,label_count,label_statuses,slides,rank,score,kit_id,kit_brand,kit_scale,kit_name,kit_serial,match_reasons
Airfix 1:24 Hawker Hurricane,2,identified_elsewhere | identified_in_this_image,ILM_Shop_Image | Tile,1,88.3,4,Airfix,1/24,Hawker Hurricane Mk1,14002,"vendor; scale; tokens=airfix,hawker,hurricane; name-ratio=0.89"
Airfix 1:24 Hawker Hurricane,2,identified_elsewhere | identified_in_this_image,ILM_Shop_Image | Tile,2,77.2,173,Airfix,1/24,Hawker Harrier,09601-4,"vendor; scale; tokens=airfix,hawker; name-ratio=0.80"
Airfix 1:24 Hawker Hurricane,2,identified_elsewhere | identified_in_this_image,ILM_Shop_Image | Tile,3,57.3,5,Airfix,1/24,Messerschmitt Bf109E,A12002V,vendor; scale; tokens=airfix
Airfix 1:24 Messerschmitt,4,identified_elsewhere | identified_in_this_image,Blockade_Runner | Blockade_Runner_02 | ILM_KITS | Sandcrawler_right,1,81.7,5,Airfix,1/24,Messerschmitt Bf109E,A12002V,"vendor; scale; tokens=airfix,messerschmitt; name-ratio=0.79"
Airfix 1:24 Messerschmitt,4,identified_elsewhere | identified_in_this_image,Blockade_Runner | Blockade_Runner_02 | ILM_KITS | Sandcrawler_right,2,59.1,173,Airfix,1/24,Hawker Harrier,09601-4,vendor; scale; tokens=airfix
Airfix 1:24 Messerschmitt,4,identified_elsewhere | identified_in_this_image,Blockade_Runner | Blockade_Runner_02 | ILM_KITS | Sandcrawler_right,3,57.8,4,Airfix,1/24,Hawker Hurricane Mk1,14002,vendor; scale; tokens=airfix
Airfix 1:24 Messerschmitt (?),1,identified_elsewhere,Xwing_back_2,1,81.7,5,Airfix,1/24,Messerschmitt Bf109E,A12002V,"vendor; scale; tokens=airfix,messerschmitt; name-ratio=0.79"
Airfix 1:24 Messerschmitt (?),1,identified_elsewhere,Xwing_back_2,2,59.1,173,Airfix,1/24,Hawker Harrier,09601-4,vendor; scale; tokens=airfix
Airfix 1:24 Messerschmitt (?),1,identified_elsewhere,Xwing_back_2,3,57.8,4,Airfix,1/24,Hawker Hurricane Mk1,14002,vendor; scale; tokens=airfix
Airfix 1:24 Messerschmitt (???),1,identified_in_this_image,Blockade_Runner,1,81.7,5,Airfix,1/24,Messerschmitt Bf109E,A12002V,"vendor; scale; tokens=airfix,messerschmitt; name-ratio=0.79"
Airfix 1:24 Messerschmitt (???),1,identified_in_this_image,Blockade_Runner,2,59.1,173,Airfix,1/24,Hawker Harrier,09601-4,vendor; scale; tokens=airfix
Airfix 1:24 Messerschmitt (???),1,identified_in_this_image,Blockade_Runner,3,57.8,4,Airfix,1/24,Hawker Hurricane Mk1,14002,vendor; scale; tokens=airfix
Airfix Ark Royal,1,identified_in_this_image,ILM_Shop_Top,1,64.0,175,Airfix,1/600,H.M.S. Ark Royal,F408S,"vendor; tokens=airfix,ark,royal; name-ratio=0.75"
Airfix Ark Royal,1,identified_in_this_image,ILM_Shop_Top,2,47.8,18,Airfix,1/76,Harrow,04652-7,vendor; tokens=airfix
Airfix Ark Royal,1,identified_in_this_image,ILM_Shop_Top,3,43.6,180,Airfix,1/72,Black Widow,04006-0,vendor; tokens=airfix
Airfix Black Widow,1,identified_elsewhere,Blockade _Top,1,77.2,180,Airfix,1/72,Black Widow,04006-0,"vendor; tokens=airfix,black,widow; name-ratio=1.00"
Airfix Black Widow,1,identified_elsewhere,Blockade _Top,2,43.5,18,Airfix,1/76,Harrow,04652-7,vendor; tokens=airfix
Airfix Black Widow,1,identified_elsewhere,Blockade _Top,3,41.9,199,Airfix / MPC,1/72,Lockheed Hudson,386 / 3-89 / 03006-7 /1403 / 1104-100 / 03006-7,vendor; tokens=airfix
Airfix Focke Wulf 189,1,identified_in_this_image,ILM_Shop_Top,1,85.6,25,Airfix,1/72,Focke-Wulf 189,267,"vendor; tokens=189,airfix,focke,wulf; name-ratio=1.00"
Airfix Focke Wulf 189,1,identified_in_this_image,ILM_Shop_Top,2,41.9,13,Airfix,1/72,Arado Ar 196,02019-0,vendor; tokens=airfix
Airfix Focke Wulf 189,1,identified_in_this_image,ILM_Shop_Top,3,41.8,187,Airfix,1/72,Henschel H.S.129,262.0,vendor; tokens=airfix
Airfix Halifax B Mk III,1,identified_in_this_image,ILM_Shop_Image,1,71.3,183,Airfix,1/72,Handley Page Halifax B.Mk.III,584,"vendor; tokens=airfix,b,halifax,iii,mk; name-ratio=0.71"
Airfix Halifax B Mk III,1,identified_in_this_image,ILM_Shop_Image,2,42.2,381,Airfix,1/76,LCM III & Sherman Tank,A301V / 03301-9,"vendor; tokens=airfix,iii"
Airfix Halifax B Mk III,1,identified_in_this_image,ILM_Shop_Image,3,42.0,4,Airfix,1/24,Hawker Hurricane Mk1,14002,vendor; tokens=airfix
Airfix Harrier,1,identified_elsewhere,ILM_Shop_Top,1,60.8,173,Airfix,1/24,Hawker Harrier,09601-4,"vendor; tokens=airfix,harrier; name-ratio=0.67"
Airfix Harrier,1,identified_elsewhere,ILM_Shop_Top,2,51.2,18,Airfix,1/76,Harrow,04652-7,vendor; tokens=airfix
Airfix Harrier,1,identified_elsewhere,ILM_Shop_Top,3,49.2,8,Airfix,1/600,Scharnhorst,F406S,vendor; tokens=airfix
Airfix Harrow,3,identified_elsewhere | identified_in_this_image,Blockade_Runner_02 | ILM_Shop_Image | Landspeeder_03,1,73.0,18,Airfix,1/76,Harrow,04652-7,"vendor; tokens=airfix,harrow; name-ratio=1.00"
Airfix Harrow,3,identified_elsewhere | identified_in_this_image,Blockade_Runner_02 | ILM_Shop_Image | Landspeeder_03,2,49.8,8,Airfix,1/600,Scharnhorst,F406S,vendor; tokens=airfix
Airfix Harrow,3,identified_elsewhere | identified_in_this_image,Blockade_Runner_02 | ILM_Shop_Image | Landspeeder_03,3,44.7,175,Airfix,1/600,H.M.S. Ark Royal,F408S,vendor; tokens=airfix
Airfix Hawker Harrier,3,identified_elsewhere | identified_in_this_image,5757 | Blockade_Runner | ILM_Shop_Image,1,77.2,173,Airfix,1/24,Hawker Harrier,09601-4,"vendor; tokens=airfix,harrier,hawker; name-ratio=1.00"
Airfix Hawker Harrier,3,identified_elsewhere | identified_in_this_image,5757 | Blockade_Runner | ILM_Shop_Image,2,58.9,4,Airfix,1/24,Hawker Hurricane Mk1,14002,"vendor; tokens=airfix,hawker; name-ratio=0.71"
Airfix Hawker Harrier,3,identified_elsewhere | identified_in_this_image,5757 | Blockade_Runner | ILM_Shop_Image,3,47.6,171,Airfix,1/144,Hawker Siddeley Trident 1C,SK504 / 1655/9 / 03174-9 / 03174-9,"vendor; tokens=airfix,hawker"
Airfix Hawker Hurricane (?),1,identified_elsewhere,Wingman,1,74.5,4,Airfix,1/24,Hawker Hurricane Mk1,14002,"vendor; tokens=airfix,hawker,hurricane; name-ratio=0.89"
Airfix Hawker Hurricane (?),1,identified_elsewhere,Wingman,2,61.2,173,Airfix,1/24,Hawker Harrier,09601-4,"vendor; tokens=airfix,hawker; name-ratio=0.80"
Airfix Hawker Hurricane (?),1,identified_elsewhere,Wingman,3,47.1,171,Airfix,1/144,Hawker Siddeley Trident 1C,SK504 / 1655/9 / 03174-9 / 03174-9,"vendor; tokens=airfix,hawker"
Airfix Henschel HS 129,1,identified_in_this_image,ILM_Shop_Top,1,67.0,187,Airfix,1/72,Henschel H.S.129,262.0,"vendor; tokens=129,airfix,henschel; name-ratio=0.97"
Airfix Henschel HS 129,1,identified_in_this_image,ILM_Shop_Top,2,45.2,196,Airfix / MPC,1/72,Heinkel He 177,589 / A-106 / 1200-200 / 2-2502 / 2-0303 / 05009-2,vendor; tokens=airfix
Airfix Henschel HS 129,1,identified_in_this_image,ILM_Shop_Top,3,44.6,386,Airfix / MPC,1/72,Flying Fortress Boeing B-17 G,585 / 1-129 / 2-163 / 1506-150 / A-107-700 / 1201-200 / 05005-0 / 2-2501 / 2-0301 / 05005,"vendor; tokens=129,airfix; serial-ish"
Airfix Hurricane,1,identified_elsewhere,ILM_Shop_Top,1,59.7,4,Airfix,1/24,Hawker Hurricane Mk1,14002,"vendor; tokens=airfix,hurricane"
Airfix Hurricane,1,identified_elsewhere,ILM_Shop_Top,2,48.6,188,Airfix,1/72,Hovercraft,287,vendor; tokens=airfix
Airfix Hurricane,1,identified_elsewhere,ILM_Shop_Top,3,46.0,18,Airfix,1/76,Harrow,04652-7,vendor; tokens=airfix
Airfix Messerschmitt,1,identified_elsewhere,ILM_Shop_Top,1,67.9,5,Airfix,1/24,Messerschmitt Bf109E,A12002V,"vendor; tokens=airfix,messerschmitt; name-ratio=0.79"
Airfix Messerschmitt,1,identified_elsewhere,ILM_Shop_Top,2,46.8,188,Airfix,1/72,Hovercraft,287,vendor; tokens=airfix
Airfix Messerschmitt,1,identified_elsewhere,ILM_Shop_Top,3,46.5,8,Airfix,1/600,Scharnhorst,F406S,vendor; tokens=airfix
Airfix Messerschmitt (?),1,identified_elsewhere,Wingman,1,67.9,5,Airfix,1/24,Messerschmitt Bf109E,A12002V,"vendor; tokens=airfix,messerschmitt; name-ratio=0.79"
Airfix Messerschmitt (?),1,identified_elsewhere,Wingman,2,46.8,188,Airfix,1/72,Hovercraft,287,vendor; tokens=airfix
Airfix Messerschmitt (?),1,identified_elsewhere,Wingman,3,46.5,8,Airfix,1/600,Scharnhorst,F406S,vendor; tokens=airfix
Airfix Pontoon Bridge,1,identified_in_this_image,ILM_Shop_Top,1,62.8,189,Airfix,1/72,Pontoon Bridge Assault Set,40602-8,"vendor; tokens=airfix,bridge,pontoon; name-ratio=0.70"
Airfix Pontoon Bridge,1,identified_in_this_image,ILM_Shop_Top,2,41.5,2,Airfix,1/144,Apollo Saturn V,09170-5,vendor; tokens=airfix
Airfix Pontoon Bridge,1,identified_in_this_image,ILM_Shop_Top,3,40.9,173,Airfix,1/24,Hawker Harrier,09601-4,vendor; tokens=airfix
Airfix Saturn V,8,identified_elsewhere | identified_in_this_image,5757 | ???? | ILM_Shop_Top | Landspeeder_02 | Landspeeders | Sandcrawler_0 2 | Star_Destroyer_Stand,1,65.7,2,Airfix,1/144,Apollo Saturn V,09170-5,"vendor; tokens=airfix,saturn,v; name-ratio=0.70"
Airfix Saturn V,8,identified_elsewhere | identified_in_this_image,5757 | ???? | ILM_Shop_Top | Landspeeder_02 | Landspeeders | Sandcrawler_0 2 | Star_Destroyer_Stand,2,46.5,8,Airfix,1/600,Scharnhorst,F406S,vendor; tokens=airfix
Airfix Saturn V,8,identified_elsewhere | identified_in_this_image,5757 | ???? | ILM_Shop_Top | Landspeeder_02 | Landspeeders | Sandcrawler_0 2 | Star_Destroyer_Stand,3,42.7,7,Airfix,1/600,R.M.S. Mauretania,04207-1,vendor; tokens=airfix
Airfix SR-N1 Hovercraft,1,identified_in_this_image,Blockade_Runner,1,63.3,188,Airfix,1/72,Hovercraft,287,"vendor; tokens=airfix,hovercraft; name-ratio=0.77"
Airfix SR-N1 Hovercraft,1,identified_in_this_image,Blockade_Runner,2,47.4,8,Airfix,1/600,Scharnhorst,F406S,vendor; tokens=airfix
Airfix SR-N1 Hovercraft,1,identified_in_this_image,Blockade_Runner,3,41.2,173,Airfix,1/24,Hawker Harrier,09601-4,vendor; tokens=airfix
Airfix Tank Transporter,1,identified_in_this_image,Star_Destroyer_Stand,1,68.2,192,Airfix,1/76,Scammel Tank Transporter,02301-6,"vendor; tokens=airfix,tank,transporter; name-ratio=0.80"
Airfix Tank Transporter,1,identified_in_this_image,Star_Destroyer_Stand,2,46.9,382,Airfix,1/76,Matilda Tank,01318-1 /,"vendor; tokens=airfix,tank"
Airfix Tank Transporter,1,identified_in_this_image,Star_Destroyer_Stand,3,45.3,8,Airfix,1/600,Scharnhorst,F406S,vendor; tokens=airfix
AMT  Kenworth K-123 Cabover,1,identified_in_this_image,Blockade_Runner,1,87.0,30,AMT,1/25,Kenworth K-123 Cabover,687,"vendor; tokens=123,amt,cabover,k,kenworth; name-ratio=1.00"
AMT  Kenworth K-123 Cabover,1,identified_in_this_image,Blockade_Runner,2,45.1,239,AMT,1/25,Peterbilt Cabover Pacemaker 352 Tractor,T502,"vendor; tokens=amt,cabover"
AMT  Kenworth K-123 Cabover,1,identified_in_this_image,Blockade_Runner,3,42.2,233,AMT,1/25,New Camaro,T458,vendor; tokens=amt
AMT '65 Ford Galaxie XL,1,identified_in_this_image,Blockade_Runner_02,1,87.0,212,AMT,1/25,65 Ford Galaxie XL,T407,"vendor; tokens=65,amt,ford,galaxie,xl; name-ratio=1.00"
AMT '65 Ford Galaxie XL,1,identified_in_this_image,Blockade_Runner_02,2,50.1,205,AMT,1/25,32 Ford Phaeton,A125,"vendor; tokens=amt,ford"
AMT '65 Ford Galaxie XL,1,identified_in_this_image,Blockade_Runner_02,3,49.3,207,AMT,1/25,40 Ford Sedan Delivery,T149,"vendor; tokens=amt,ford"
AMT 1958 Chevy Impala,3,identified_elsewhere | identified_in_this_image,Erland_Y | Star_Destroyer_workbench | X_03,1,85.6,203,AMT,1/25,1958 Chevy Impala,T273,"vendor; tokens=1958,amt,chevy,impala; name-ratio=1.00"
AMT 1958 Chevy Impala,3,identified_elsewhere | identified_in_this_image,Erland_Y | Star_Destroyer_workbench | X_03,2,55.5,209,AMT,1/25,55 Chevy Nomad,T289,"vendor; tokens=amt,chevy"
AMT 1958 Chevy Impala,3,identified_elsewhere | identified_in_this_image,Erland_Y | Star_Destroyer_workbench | X_03,3,50.9,216,AMT,1/25,Chevy Titan 90,T-509,"vendor; tokens=amt,chevy"
AMT 1:43 Exterior Post Van,4,identified_elsewhere | identified_in_this_image,Star_Destroyer_right | Star_Destroyer_workbench,1,94.0,252,AMT,1/43,Exterior post van,T-704,"vendor; scale; tokens=amt,exterior,post,van; name-ratio=1.00"
AMT 1:43 Exterior Post Van,4,identified_elsewhere | identified_in_this_image,Star_Destroyer_right | Star_Destroyer_workbench,2,62.4,254,AMT,1/43,Peterbilt 359 (1/43 T'N'T Series),T-700,"vendor; scale; tokens=1/43,amt"
AMT 1:43 Exterior Post Van,4,identified_elsewhere | identified_in_this_image,Star_Destroyer_right | Star_Destroyer_workbench,3,60.5,253,AMT,1/43,Fruehauf FB 40 Foot Refrigerator Van Reefer,T-701,"vendor; scale; tokens=amt,van"
AMT 1:43 Peterbilt 359,9,identified_elsewhere | identified_in_this_image,Blockade_Runner | ILM_KITS | Landspeeder_04 | Sandcrawler_back | Star_Destroyer_right | Star_Destroyer_workbench | Tie_Attack | X_03,1,84.2,254,AMT,1/43,Peterbilt 359 (1/43 T'N'T Series),T-700,"vendor; scale; tokens=1/43,359,amt,peterbilt"
AMT 1:43 Peterbilt 359,9,identified_elsewhere | identified_in_this_image,Blockade_Runner | ILM_KITS | Landspeeder_04 | Sandcrawler_back | Star_Destroyer_right | Star_Destroyer_workbench | Tie_Attack | X_03,2,61.9,252,AMT,1/43,Exterior post van,T-704,vendor; scale; tokens=amt
AMT 1:43 Peterbilt 359,9,identified_elsewhere | identified_in_this_image,Blockade_Runner | ILM_KITS | Landspeeder_04 | Sandcrawler_back | Star_Destroyer_right | Star_Destroyer_workbench | Tie_Attack | X_03,3,54.4,253,AMT,1/43,Fruehauf FB 40 Foot Refrigerator Van Reefer,T-701,vendor; scale; tokens=amt
AMT 1:43 Reefer,1,identified_in_this_image,ILM_KITS,1,60.4,254,AMT,1/43,Peterbilt 359 (1/43 T'N'T Series),T-700,"vendor; scale; tokens=1/43,amt"
AMT 1:43 Reefer,1,identified_in_this_image,ILM_KITS,2,59.5,253,AMT,1/43,Fruehauf FB 40 Foot Refrigerator Van Reefer,T-701,"vendor; scale; tokens=amt,reefer"
AMT 1:43 Reefer,1,identified_in_this_image,ILM_KITS,3,57.5,252,AMT,1/43,Exterior post van,T-704,vendor; scale; tokens=amt
AMT 53 Ford Pickup,1,identified_elsewhere,Erland_Peterson,1,71.3,206,AMT,1/25,34 Ford Pickup,T145,"vendor; tokens=amt,ford,pickup; name-ratio=0.93"
AMT 53 Ford Pickup,1,identified_elsewhere,Erland_Peterson,2,68.9,234,AMT,1/25,New Ford Pickup,T387,"vendor; tokens=amt,ford,pickup; name-ratio=0.83"
AMT 53 Ford Pickup,1,identified_elsewhere,Erland_Peterson,3,68.8,208,AMT,1/25,53 Ford Pickup Street Rods,T410,"vendor; tokens=53,amt,ford,pickup; name-ratio=0.70"
AMT 53 Ford Pickup Street Rods,2,identified_elsewhere | identified_in_this_image,Blockade_Runner_02 | Star_Destroyer_workbench,1,88.0,208,AMT,1/25,53 Ford Pickup Street Rods,T410,"vendor; tokens=53,amt,ford,pickup,rods,street; name-ratio=1.00"
AMT 53 Ford Pickup Street Rods,2,identified_elsewhere | identified_in_this_image,Blockade_Runner_02 | Star_Destroyer_workbench,2,59.4,206,AMT,1/25,34 Ford Pickup,T145,"vendor; tokens=amt,ford,pickup"
AMT 53 Ford Pickup Street Rods,2,identified_elsewhere | identified_in_this_image,Blockade_Runner_02 | Star_Destroyer_workbench,3,57.8,234,AMT,1/25,New Ford Pickup,T387,"vendor; tokens=amt,ford,pickup"
AMT 55 Chevy Nomad,3,identified_elsewhere | identified_in_this_image,Erland_Y | Sandcrawler_0 2 | Star_Destroyer_workbench,1,85.6,209,AMT,1/25,55 Chevy Nomad,T289,"vendor; tokens=55,amt,chevy,nomad; name-ratio=1.00"
AMT 55 Chevy Nomad,3,identified_elsewhere | identified_in_this_image,Erland_Y | Sandcrawler_0 2 | Star_Destroyer_workbench,2,55.5,203,AMT,1/25,1958 Chevy Impala,T273,"vendor; tokens=amt,chevy"
AMT 55 Chevy Nomad,3,identified_elsewhere | identified_in_this_image,Erland_Y | Sandcrawler_0 2 | Star_Destroyer_workbench,3,53.5,210,AMT,1/25,59 Chevy El Camino,T398,"vendor; tokens=amt,chevy"
AMT 56 Ford Victoria Hardtop,1,identified_in_this_image,Erland_Y,1,82.0,250,AMT,1/25,56 Ford Victoria Hardtop,T271-200,"vendor; tokens=56,amt,ford,hardtop,victoria; name-ratio=1.00"
AMT 56 Ford Victoria Hardtop,1,identified_in_this_image,Erland_Y,2,49.9,206,AMT,1/25,34 Ford Pickup,T145,"vendor; tokens=amt,ford"
AMT 56 Ford Victoria Hardtop,1,identified_in_this_image,Erland_Y,3,49.6,234,AMT,1/25,New Ford Pickup,T387,"vendor; tokens=amt,ford"
AMT 58 Chevy Impala,1,identified_elsewhere,Sandcrawler_0 2,1,71.5,203,AMT,1/25,1958 Chevy Impala,T273,"vendor; tokens=amt,chevy,impala; name-ratio=0.94"
AMT 58 Chevy Impala,1,identified_elsewhere,Sandcrawler_0 2,2,56.6,209,AMT,1/25,55 Chevy Nomad,T289,"vendor; tokens=amt,chevy; name-ratio=0.69"
AMT 58 Chevy Impala,1,identified_elsewhere,Sandcrawler_0 2,3,51.7,216,AMT,1/25,Chevy Titan 90,T-509,"vendor; tokens=amt,chevy"
AMT 59 Chevy El Camino,3,identified_elsewhere | identified_in_this_image,Erland_Peterson | Star_Destroyer_workbench | X_03,1,87.0,210,AMT,1/25,59 Chevy El Camino,T398,"vendor; tokens=59,amt,camino,chevy,el; name-ratio=1.00"
AMT 59 Chevy El Camino,3,identified_elsewhere | identified_in_this_image,Erland_Peterson | Star_Destroyer_workbench | X_03,2,53.5,209,AMT,1/25,55 Chevy Nomad,T289,"vendor; tokens=amt,chevy"
AMT 59 Chevy El Camino,3,identified_elsewhere | identified_in_this_image,Erland_Peterson | Star_Destroyer_workbench | X_03,3,52.4,27,AMT,1/25,57 Chevy Bel Air Hardtop,31543,"vendor; tokens=amt,chevy; name-ratio=0.67"
AMT Aquarod Race Team,1,identified_in_this_image,Blockade_Runner,1,80.0,213,AMT,1/25,Aquarod Race Team,T-561,"vendor; tokens=amt,aquarod,race,team; name-ratio=1.00"
AMT Aquarod Race Team,1,identified_in_this_image,Blockade_Runner,2,52.3,238,AMT,1/25,Penske Racing Team,T565,"vendor; tokens=amt,team"
AMT Aquarod Race Team,1,identified_in_this_image,Blockade_Runner,3,44.3,214,AMT,1/25,Autocar A64B tractor,T-526,vendor; tokens=amt
AMT Aquarod Racing Team,1,identified_elsewhere,Sandcrawler_right,1,67.3,213,AMT,1/25,Aquarod Race Team,T-561,"vendor; tokens=amt,aquarod,team; name-ratio=0.89"
AMT Aquarod Racing Team,1,identified_elsewhere,Sandcrawler_right,2,64.6,238,AMT,1/25,Penske Racing Team,T565,"vendor; tokens=amt,racing,team"
AMT Aquarod Racing Team,1,identified_elsewhere,Sandcrawler_right,3,43.7,214,AMT,1/25,Autocar A64B tractor,T-526,vendor; tokens=amt
AMT Autocar,4,identified_elsewhere | identified_in_this_image,5757 | Landspeeder_04 | Tie_Attack | Xwing_back,1,54.4,214,AMT,1/25,Autocar A64B tractor,T-526,"vendor; tokens=amt,autocar"
AMT Autocar,4,identified_elsewhere | identified_in_this_image,5757 | Landspeeder_04 | Tie_Attack | Xwing_back,2,45.5,251,AMT,1/25,Corvair Custom,T159,vendor; tokens=amt
AMT Autocar,4,identified_elsewhere | identified_in_this_image,5757 | Landspeeder_04 | Tie_Attack | Xwing_back,3,44.9,233,AMT,1/25,New Camaro,T458,vendor; tokens=amt
AMT Black Beauty,1,identified_in_this_image,Sandcrawler_back,1,55.0,242,AMT,1/25,Steve McGee Black Beauty Wedge Dragster,T176,"vendor; tokens=amt,beauty,black"
AMT Black Beauty,1,identified_in_this_image,Sandcrawler_back,2,43.3,240,AMT,1/25,Peterbilt Wrecker,T522,vendor; tokens=amt
AMT Black Beauty,1,identified_in_this_image,Sandcrawler_back,3,42.4,251,AMT,1/25,Corvair Custom,T159,vendor; tokens=amt
AMT Bobby Alison Malibu Chevy,2,identified_elsewhere | identified_in_this_image,Blockade_Runner_02 | Sandcrawler_back,1,75.5,215,AMT,1/25,Bobby Allison Malibu Chevy,T373,"vendor; tokens=amt,bobby,chevy,malibu; name-ratio=0.98"
AMT Bobby Alison Malibu Chevy,2,identified_elsewhere | identified_in_this_image,Blockade_Runner_02 | Sandcrawler_back,2,45.9,209,AMT,1/25,55 Chevy Nomad,T289,"vendor; tokens=amt,chevy"
AMT Bobby Alison Malibu Chevy,2,identified_elsewhere | identified_in_this_image,Blockade_Runner_02 | Sandcrawler_back,3,45.4,203,AMT,1/25,1958 Chevy Impala,T273,"vendor; tokens=amt,chevy"
AMT California Hauler,1,identified_elsewhere,Sandcrawler_right,1,63.0,32,AMT,1/25,Peterbilt 359 California Hauler,T-500,"vendor; tokens=amt,california,hauler; name-ratio=0.71"
AMT California Hauler,1,identified_elsewhere,Sandcrawler_right,2,44.5,205,AMT,1/25,32 Ford Phaeton,A125,vendor; tokens=amt
AMT California Hauler,1,identified_elsewhere,Sandcrawler_right,3,44.3,251,AMT,1/25,Corvair Custom,T159,vendor; tokens=amt
AMT Chevy Titan 90,11,identified_elsewhere | identified_in_this_image | other_or_unstyled,???? | Blockade_Runner_02 | ILM_Shop_Image | Landspeeder_04 | Star_Destroyer_right | Star_Destroyer_workbench | Tie_Attack | X_03,1,80.0,216,AMT,1/25,Chevy Titan 90,T-509,"vendor; tokens=90,amt,chevy,titan; name-ratio=1.00"
AMT Chevy Titan 90,11,identified_elsewhere | identified_in_this_image | other_or_unstyled,???? | Blockade_Runner_02 | ILM_Shop_Image | Landspeeder_04 | Star_Destroyer_right | Star_Destroyer_workbench | Tie_Attack | X_03,2,52.4,203,AMT,1/25,1958 Chevy Impala,T273,"vendor; tokens=amt,chevy"
AMT Chevy Titan 90,11,identified_elsewhere | identified_in_this_image | other_or_unstyled,???? | Blockade_Runner_02 | ILM_Shop_Image | Landspeeder_04 | Star_Destroyer_right | Star_Destroyer_workbench | Tie_Attack | X_03,3,52.0,209,AMT,1/25,55 Chevy Nomad,T289,"vendor; tokens=amt,chevy"
AMT Covair Custom,1,identified_in_this_image,Big_Dish,1,83.5,251,AMT,1/25,Corvair Custom,T159,"vendor; tokens=amt,corvair,custom; name-ratio=1.00"
AMT Covair Custom,1,identified_in_this_image,Big_Dish,2,51.1,236,AMT,1/25,Nirvana Custom Chevy Van,T-394,"vendor; tokens=amt,custom"
AMT Covair Custom,1,identified_in_this_image,Big_Dish,3,47.0,249,AMT,1/25,Nova Pro Stock,43-8601,vendor; tokens=amt
AMT Crew Chief,2,identified_elsewhere | identified_in_this_image,Star_Destroyer_right | Star_Destroyer_workbench,1,77.2,217,AMT,1/25,Crew Chief,T340-225,"vendor; tokens=amt,chief,crew; name-ratio=1.00"
AMT Crew Chief,2,identified_elsewhere | identified_in_this_image,Star_Destroyer_right | Star_Destroyer_workbench,2,44.6,233,AMT,1/25,New Camaro,T458,vendor; tokens=amt
AMT Crew Chief,2,identified_elsewhere | identified_in_this_image,Star_Destroyer_right | Star_Destroyer_workbench,3,43.6,227,AMT,1/25,McLaren M16 C/D,T260,vendor; tokens=amt
AMT Diamond Reo,1,identified_in_this_image,ILM_Shop_Image,1,83.5,218,AMT,1/25,Diamond Reo,T537,"vendor; tokens=amt,diamond,reo; name-ratio=1.00"
AMT Diamond Reo,1,identified_in_this_image,ILM_Shop_Image,2,43.6,225,AMT,1/25,Kandy Van,T-246,vendor; tokens=amt
AMT Diamond Reo,1,identified_in_this_image,ILM_Shop_Image,3,43.5,213,AMT,1/25,Aquarod Race Team,T-561,vendor; tokens=amt
AMT Dragray Corvette,1,identified_elsewhere,Erland_Peterson,1,67.3,220,AMT,1/25,DRAGRAY Corvette Funny Car,T352,"vendor; tokens=amt,corvette,dragray; name-ratio=0.76"
